YEAR,WAVE,SUB_REG,ST,SP_CODE,MODE_FX,AREA_X,ESTCLAIM,ESTCLVAR,ESTHARV,ESTHVAR,LANDING,LAND_VAR,ESTREL,ESTRLVAR,TOT_CAT,TOT_VAR,LBS_AB1,VAR_LBS,WGT_AB1,VAR_WAB1,MISS_FISH,ALT_FLAG,MODE,AREA,STATUS,DOWNLOAD
1996,3,6,37,8850030302,5,2,400.40449191,162459.52528,0,0,400.40449191,162459.52528,0,0,400.40449191,162459.52528,504.61569157,258029.16708,228.89217616,53089.568355,0,0,CHARTER BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:15:21
1996,4,6,37,8850030302,5,1,0,0,44.985878344,2192.3378542,44.985878344,2192.3378542,0,0,44.985878344,2192.3378542,49.587933699,2663.8336306,22.492939172,548.08446355,0,0,CHARTER BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:15:21
1997,4,6,37,8850030302,3,5,1607.9860884,2365845.8707,0,0,1607.9860884,2365845.8707,0,0,1607.9860884,2365845.8707,1788.8949455,2928138.0471,811.43742424,602465.1661,0,0,SHORE,INLAND,FINAL,24MAR2021:12:15:21
1998,4,6,37,8850030302,5,1,584.85380889,274936.27858,0,0,584.85380889,274936.27858,0,0,584.85380889,274936.27858,698.35943094,392008.43278,316.77375984,80655.837181,0,0,CHARTER BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:15:21
1999,4,6,37,8850030302,3,1,0,0,1010.8573435,1028994.1944,1010.8573435,1028994.1944,0,0,1010.8573435,1028994.1944,1225.6948548,1512857.1063,555.97153895,311270.7438,0,0,SHORE,OCEAN (<= 3 MI),FINAL,24MAR2021:12:15:21
2003,4,6,37,8850030302,7,2,0,0,6064.5513525,36138540.517,6064.5513525,36138540.517,2425.820541,5782166.4827,8490.3718935,70831539.414,0,0,0,0,6064.5513525,0,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:15:21
2005,4,6,37,8850030302,7,1,0,0,9457.4188739,89092003.982,9457.4188739,89092003.982,0,0,9457.4188739,89092003.982,0,0,0,0,9457.4188739,0,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:15:21
2005,4,6,37,8850030302,7,5,0,0,46325.858895,2211481100.2,46325.858895,2211481100.2,97450.953768,9786073202.4,143776.81266,21301685843,0,0,0,0,46325.858895,0,PRIVATE/RENTAL BOAT,INLAND,FINAL,24MAR2021:12:15:21
2011,2,6,37,8850030302,5,2,15.581291729,256.77793282,0,0,15.581291729,256.77793282,0,0,15.581291729,256.77793282,89.311340941,8436.53282,40.511358496,1735.8188258,0,0,CHARTER BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:15:21
2012,5,6,37,8850030302,7,1,0,0,299.61561802,84909.306006,299.61561802,84909.306006,0,0,299.61561802,84909.306006,1717.3847379,2789726.2782,779.00060686,573986.9086,0,0,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:15:21
2012,5,6,37,8850030302,7,2,0,0,7094.3696907,51555118.782,7094.3696907,51555118.782,0,0,7094.3696907,51555118.782,40664.643292,1693862268,18445.361196,348512602.97,0,0,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:15:21
2013,3,6,37,8850030302,7,5,0,0,10546.866538,113920191.37,10546.866538,113920191.37,0,0,10546.866538,113920191.37,2807.5114613,8072292.3251,1273.4788448,1660876.2491,0,0,PRIVATE/RENTAL BOAT,INLAND,FINAL,24MAR2021:12:15:21
2014,6,6,37,8850030302,5,2,5.0870275464,25.33606869,0,0,5.0870275464,25.33606869,0,0,5.0870275464,25.33606869,0,0,0,0,5.0870275464,0,CHARTER BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:15:21
2015,2,6,37,8850030302,5,2,22.706645087,522.41699879,0,0,22.706645087,522.41699879,0,0,22.706645087,522.41699879,0,0,0,0,22.706645087,0,CHARTER BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:15:21
2015,3,6,37,8850030302,7,1,0,0,828.73027309,39202.105679,828.73027309,39202.105679,0,0,828.73027309,39202.105679,0,0,0,0,828.73027309,0,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:15:21
2015,5,6,37,8850030302,7,1,0,0,4999.5787414,24084213.535,4999.5787414,24084213.535,0,0,4999.5787414,24084213.535,0,0,0,0,4999.5787414,0,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:15:21
2018,4,6,37,8850030302,7,5,0,0,0,0,0,0,23083.193745,481892604.1,23083.193745,481892604.1,0,0,0,0,0,0,PRIVATE/RENTAL BOAT,INLAND,FINAL,24MAR2021:12:15:21
